country,iso3,year,p1_unga_relative_alignment,p2_us_formal_alliance,p2_us_formal_alliance_structural_2018,p2_source_year,n1_electronics_foreign_va_share,n2_china_hs8542_import_share,n3_us_hs8542_export_share,n4_dual_dependency,v1_hs8542_import_hhi,v2_effective_supplier_count,avg_distance_to_china,avg_distance_to_us,window_start,window_end,source_flag,missing_flag,notes
Malaysia,MYS,2017,0.1073448418301264,0.0,0,2017,54.031,0.1231378966394957,0.0598008729106767,0.0073637537074265,0.1405291948932131,12,0.3833060666666667,3.1874856,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Indonesia,IDN,2022,0.1413240320981717,0,0,2022,28.891,0.259326368129828,0.0410862434837646,0.0106547463027425,0.1918399225778774,10,0.4781392,2.9051438333333337,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Philippines,PHL,2017,0.1144837604520569,1.0,1,2017,48.892,0.0592854550481176,0.0568008307405769,0.0033674630975662,0.1597326782589004,10,0.4041166,3.1257866666666665,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Philippines,PHL,2022,0.2543238697016687,1,1,2022,52.625,0.0898643555022621,0.0847383825415404,0.0076149601333996,0.1403853755044386,11,0.8604496333333334,2.5228334,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Japan,JPN,2017,0.4316519247489457,1.0,1,2017,19.489,0.0887419942234082,0.0452599899089959,0.0040164617630556,0.2908181470136886,9,1.4026114333333333,1.8467924333333328,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Japan,JPN,2022,0.6034754349205054,1,1,2022,25.24,0.0830985904740396,0.0309100824301123,0.0025685842813787,0.3645901307427526,10,2.0417282,1.3415548333333334,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
South Korea,KOR,2017,0.5025719076512455,1.0,1,2017,28.477,0.3058316968418555,0.0067256945265525,0.0020569305694955,0.2102289522217581,10,1.6330591,1.6163447666666666,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
South Korea,KOR,2022,0.6331244766978851,1,1,2022,32.392,0.3766776531697877,0.0113559403395437,0.0042775289566354,0.2527262682042873,11,2.1420393,1.2412437333333337,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Mexico,MEX,2017,0.2081062786942376,1.0,1,2017,51.16,0.2756432410338499,0.8782803196912339,0.2420920338559375,0.1722262108224042,10,0.6762213466666668,2.57318252,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Mexico,MEX,2022,0.3447016360075737,0,1,2022,50.774,0.1854271305619733,0.7796026327548874,0.1445594791702986,0.1687908454035893,12,1.1662231966666667,2.217059836666667,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Germany,DEU,2017,0.5971522612414364,1.0,1,2017,26.048,0.0848824018995633,0.0302601638728979,0.0025685553914059,0.0908044095950603,16,1.9403888666666669,1.3090149999999998,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Germany,DEU,2022,0.7416784255442772,1,1,2022,30.639,0.1314343719224416,0.0272565993221255,0.0035824540126452,0.1078662428363596,12,2.5093080333333333,0.8739750000000001,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
Netherlands,NLD,2017,0.5385457164265905,1.0,1,2017,53.81,0.0254084112499978,0.0293673681401619,0.0007461781670353,0.1959182593304583,11,1.7499525333333334,1.4994513333333332,2016,2018,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX,none,P3 BIS historical exposure is not yet included in this panel
Netherlands,NLD,2022,0.7087347830619471,1,1,2022,32.253,0.0779268797818363,0.12791710689229,0.0099681810108357,0.0779245357415419,15,2.3978503666666664,0.9854326666666668,2021,2023,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | US_State_Department_collective_defense_2022_and_NATO_2022 | OECD_TiVA_2025_SDMX,none,2022 P2 from selected official US State Department collective-defense arrangements and NATO member list; 2018 ATOP structural field retained for cross-check; P3 evidence layer excluded from core index.
