country,iso3,year,p1_unga_relative_alignment,p2_us_formal_alliance,p2_source_year,p2_measurement_source,p2_evidence_source_url,p2_treaty_or_basis,p2_coding_note,p2_oas_adjustment,p2_atop_observed,p2_atop_source_year,p2_atop_structural_2018,p2_official_2022,n1_electronics_foreign_va_share,n2_china_hs8542_import_share,n3_us_hs8542_export_share,n4_dual_dependency,v1_hs8542_import_hhi,v2_effective_supplier_count,avg_distance_to_china,avg_distance_to_us,window_start,window_end,p3_reviewed_candidate_literal_count,p3_bis_direct_increase_events_reviewed_subset,p3_bis_direct_increase_flag_reviewed_subset,p3_scope,p3_scoring_status,p3_notes,p3_coverage_note,cdis_observation_year,cdis_observation_lag_years,cdis_sample_country_inward_from_china_usd_millions,cdis_china_outward_position_in_sample_country_usd_millions,cdis_inward_value_reported,cdis_outward_value_reported,cdis_any_direction_reported,cdis_coverage_note,cdis_direction_note,cdis_score_status,source_flag,missing_flag,context_missing_flag,notes
Indonesia,IDN,2017,0.0622392319140174,0,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,0.0,2017,0,,20.992,0.0961385466265693,0.0182601560336148,0.0017555048622461,0.1190456127737592,12,0.2299300666666666,3.464364666666667,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,689.870693475452,,True,False,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,not_reported:cdis_outward,ATOP observed defense obligation with the United States.
Indonesia,IDN,2022,0.1413240320981717,0,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,No qualifying U.S. collective-defense treaty or NATO membership identified,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.,False,,2018,0,0.0,28.891,0.259326368129828,0.0410862434837646,0.0106547463027425,0.1918399225778774,10,0.4781392,2.9051438333333337,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,932.16950062,18539.2488233596,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,Screened the State Department collective-defense arrangement inventory against Treaties in Force 2020 and its supplement through 2023; then checked NATO accession dates; no qualifying tie identified in these sources. This is not a claim that no security cooperation exists.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
Philippines,PHL,2017,0.1144837604520569,1,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,1.0,2017,1,,48.892,0.0592854550481176,0.0568008307405769,0.0033674630975662,0.1597326782589004,10,0.4041166,3.1257866666666665,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,1733.04225827235,384.020267592092,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,ATOP observed defense obligation with the United States.
Philippines,PHL,2022,0.2543238697016687,1,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://2021-2025.state.gov/u-s-security-cooperation-with-the-philippines/; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,1951 U.S.-Philippines Mutual Defense Treaty,State Department's October 2022 fact sheet identifies the Mutual Defense Treaty as the foundation of the bilateral alliance; the State treaty records provide the formal agreement context.,False,,2018,1,1.0,52.625,0.0898643555022621,0.0847383825415404,0.0076149601333996,0.1403853755044386,11,0.8604496333333334,2.5228334,2021,2023,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,1884.6505953,742.188334620081,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,State Department's October 2022 fact sheet identifies the Mutual Defense Treaty as the foundation of the bilateral alliance; the State treaty records provide the formal agreement context.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
Japan,JPN,2017,0.4316519247489457,1,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,1.0,2017,1,,19.489,0.0887419942234082,0.0452599899089959,0.0040164617630556,0.2908181470136886,9,1.4026114333333333,1.8467924333333328,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,164764.937878537,117568.037571957,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,ATOP observed defense obligation with the United States.
Japan,JPN,2022,0.6034754349205054,1,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://2021-2025.state.gov/joint-statement-of-the-u-s-japan-security-consultative-committee-22/; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,1960 U.S.-Japan Treaty of Mutual Cooperation and Security,The January 2022 U.S.-Japan joint statement reaffirms the U.S. defense commitment under the 1960 treaty; State treaty records provide the formal agreement context.,False,,2018,1,1.0,25.24,0.0830985904740396,0.0309100824301123,0.0025685842813787,0.3645901307427526,10,2.0417282,1.3415548333333334,2021,2023,1,1,1,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,211807.7519945,143045.273469696,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,The January 2022 U.S.-Japan joint statement reaffirms the U.S. defense commitment under the 1960 treaty; State treaty records provide the formal agreement context.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
South Korea,KOR,2017,0.5025719076512455,1,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,1.0,2017,1,,28.477,0.3058316968418555,0.0067256945265525,0.0020569305694955,0.2102289522217581,10,1.6330591,1.6163447666666666,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,,,False,False,False,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,"not_reported:cdis_inward,cdis_outward",ATOP observed defense obligation with the United States.
South Korea,KOR,2022,0.6331244766978851,1,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://2021-2025.state.gov/wp-content/uploads/2023/05/ICS_EAP_ROK_19APR2023_PUBLIC.pdf; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,1953 U.S.-Republic of Korea Mutual Defense Treaty,The State Department's Korea country strategy was approved April 15 2022 and explicitly refers to the alliance and mutual-defense treaty obligations; it was reviewed and updated April 19 2023. Treaty records provide the formal agreement context.,False,,2018,1,1.0,32.392,0.3766776531697877,0.0113559403395437,0.0042775289566354,0.2527262682042873,11,2.1420393,1.2412437333333337,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,,,False,False,False,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,"not_reported:cdis_inward,cdis_outward",The State Department's Korea country strategy was approved April 15 2022 and explicitly refers to the alliance and mutual-defense treaty obligations; it was reviewed and updated April 19 2023. Treaty records provide the formal agreement context.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
Mexico,MEX,2017,0.2081062786942376,0,2017,ATOP_v5.1_observed_plus_OAS_treaty_status_audit,https://www.oas.org/juridico/english/sigs/b-29.html,Rio Treaty; OAS records cessation for Mexico on 2004-09-06,Raw ATOP is 1; audited active-treaty value is 0 because the Rio Treaty ceased for Mexico in 2004.,True,1.0,2017,1,,51.16,0.2756432410338499,0.8782803196912339,0.2420920338559375,0.1722262108224042,10,0.6762213466666668,2.57318252,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,91.108505,-66.867,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | ATOP_v5.1_observed_plus_OAS_treaty_status_audit | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,Raw ATOP is 1; audited active-treaty value is 0 because the Rio Treaty ceased for Mexico in 2004.
Mexico,MEX,2022,0.3447016360075737,0,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://www.nato.int/cps/en/natohq/opinions_212795.htm,No qualifying U.S. collective-defense treaty or NATO membership identified in the selected 2022 sources,Screened the State treaty records and NATO membership chronology for a qualifying formal defense tie in 2022; Mexico's separate 2004 Rio Treaty status is not used for this target-year coding.,False,,2018,1,0.0,50.774,0.1854271305619733,0.7796026327548874,0.1445594791702986,0.1687908454035893,12,1.1662231966666667,2.217059836666667,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,105.24145728,32.553,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,Screened the State treaty records and NATO membership chronology for a qualifying formal defense tie in 2022; Mexico's separate 2004 Rio Treaty status is not used for this target-year coding.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
Germany,DEU,2017,0.5971522612414364,1,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,1.0,2017,1,,26.048,0.0848824018995633,0.0302601638728979,0.0025685553914059,0.0908044095950603,16,1.9403888666666669,1.3090149999999998,2016,2018,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,86945.3359184435,92395.63109,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,ATOP observed defense obligation with the United States.
Germany,DEU,2022,0.7416784255442772,1,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://www.nato.int/cps/en/natohq/opinions_212795.htm; https://nato.int/en/about-us/organization/nato-member-countries; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,NATO collective defense; member since 1955,The NATO 2022 Annual Report identifies the membership cohort through North Macedonia (2020); Germany had been a member since 1955 and was included at the target date. State Department treaty records document the North Atlantic Treaty as a US treaty.,False,,2018,1,1.0,30.639,0.1314343719224416,0.0272565993221255,0.0035824540126452,0.1078662428363596,12,2.5093080333333333,0.8739750000000001,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,97180.08801072,107666.0886,True,True,True,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,none,The NATO 2022 Annual Report identifies the membership cohort through North Macedonia (2020); Germany had been a member since 1955 and was included at the target date. State Department treaty records document the North Atlantic Treaty as a US treaty.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
Netherlands,NLD,2017,0.5385457164265905,1,2017,ATOP_v5.1_observed,https://www.atopdata.org/,ATOP US dyad defense-obligation field,ATOP observed defense obligation with the United States.,False,1.0,2017,1,,53.81,0.0254084112499978,0.0293673681401619,0.0007461781670353,0.1959182593304583,11,1.7499525333333334,1.4994513333333332,2016,2018,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2017,0,,,False,False,False,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_observed | OECD_TiVA_2025_SDMX | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,"not_reported:cdis_inward,cdis_outward",ATOP observed defense obligation with the United States.
Netherlands,NLD,2022,0.7087347830619471,1,2022,US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding,https://www.nato.int/cps/en/natohq/opinions_212795.htm; https://nato.int/en/about-us/organization/nato-member-countries; https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf,NATO collective defense; founding member since 1949,The NATO 2022 Annual Report identifies the founding members; the Netherlands was included at the target date. State Department treaty records document the North Atlantic Treaty as a US treaty.,False,,2018,1,1.0,32.253,0.0779268797818363,0.12791710689229,0.0099681810108357,0.0779245357415419,15,2.3978503666666664,0.9854326666666668,2021,2023,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.,Selected manually reviewed candidate rules only; zero is not evidence of no exposure outside the reviewed set.,2021,1,,,False,False,False,IMF CDIS supplied workbooks; end-year positions by immediate counterpart; 2017 and 2021 only; not semiconductor-specific; inward and outward reporting sides remain separate.,"Separate inward positions reported by the sample economy and outward positions reported by China; immediate counterpart, not ultimate owner, not semiconductor-specific.",non_scoring_context,UN_Comtrade_official_reporter_HS8542 | UNGA_Voeten_Dataverse_file_11824371 | ATOP_v5.1_structural_2018_only | OECD_TiVA_2025_SDMX | US_State_TIF_2020_plus_2021_2023_supplement_and_2022_official_coding | BIS_Federal_Register_selected_manual_review_evidence | IMF_CDIS_non_scoring_context,none,"not_reported:cdis_inward,cdis_outward",The NATO 2022 Annual Report identifies the founding members; the Netherlands was included at the target date. State Department treaty records document the North Atlantic Treaty as a US treaty.; CDIS context uses nearest supplied pre-target observation year 2021; one-year lag.
